id, label, timepoint, x, y, z, radius, parent_id,cell fate
16,17,0, 271.0, 341.0, 40.0, 10.0,-1,epidermis
21,22,0, 558.0, 348.0, 40.0, 10.0,-1,nervous system
58,59,0, 273.0, 362.0, 40.0, 10.0,-1,muscles
62,63,0, 544.0, 365.0, 40.0, 10.0,-1,heart and blood cells
74,75,0, 295.0, 366.0, 40.0, 10.0,-1,gonads
109,110,0, 529.0, 377.0, 40.0, 10.0,-1,gut lining germ cells
136,137,0, 291.0, 381.0, 40.0, 10.0,-1,
147,148,0, 513.0, 382.0, 40.0, 10.0,-1,
159,160,0, 459.0, 400.0, 40.0, 10.0,-1,
176,177,0, 325.0, 401.0, 40.0, 10.0,-1,
203,204,0, 503.0, 401.0, 40.0, 10.0,-1,
223,224,0, 473.0, 412.0, 40.0, 10.0,-1,
239,240,0, 424.0, 414.0, 40.0, 10.0,-1,
254,255,0, 365.0, 416.0, 40.0, 10.0,-1,
256,257,0, 458.0, 417.0, 40.0, 10.0,-1,
263,264,0, 441.0, 419.0, 40.0, 10.0,-1,
303,304,0, 381.0, 421.0, 40.0, 10.0,-1,
311,312,0, 328.0, 302.0, 45.0, 10.0,-1,
349,350,0, 287.0, 323.0, 45.0, 10.0,-1,
380,381,0, 290.0, 348.0, 45.0, 10.0,-1,
419,420,0, 255.0, 361.0, 45.0, 10.0,-1,
435,436,0, 272.0, 381.0, 45.0, 10.0,-1,
446,447,0, 305.0, 398.0, 45.0, 10.0,-1,
452,453,0, 341.0, 417.0, 45.0, 10.0,-1,
462,463,0, 269.0, 322.0, 50.0, 10.0,-1,
484,485,0, 257.0, 342.0, 50.0, 10.0,-1,
506,507,0, 283.0, 400.0, 50.0, 10.0,-1,
522,523,0, 302.0, 414.0, 50.0, 10.0,-1,
551,552,0, 320.0, 418.0, 50.0, 10.0,-1,
565,566,0, 396.0, 321.0, 55.0, 10.0,-1,
690,691,0, 441.0, 331.0, 55.0, 10.0,-1,
733,734,0, 493.0, 334.0, 55.0, 10.0,-1,
867,868,0, 474.0, 335.0, 55.0, 10.0,-1,
899,900,0, 416.0, 338.0, 55.0, 10.0,-1,
939,940,0, 456.0, 338.0, 55.0, 10.0,-1,
965,966,0, 433.0, 341.0, 55.0, 10.0,-1,
1037,1038,0, 335.0, 344.0, 55.0, 10.0,-1,
1103,1104,0, 402.0, 349.0, 55.0, 10.0,-1,
1164,1165,0, 357.0, 351.0, 55.0, 10.0,-1,
1209,1210,0, 387.0, 351.0, 55.0, 10.0,-1,
1282,1283,0, 464.0, 351.0, 55.0, 10.0,-1,
1308,1309,0, 322.0, 354.0, 55.0, 10.0,-1,
1347,1348,0, 417.0, 354.0, 55.0, 10.0,-1,
1401,1402,0, 446.0, 355.0, 55.0, 10.0,-1,
1467,1468,0, 429.0, 362.0, 55.0, 10.0,-1,
1519,1520,0, 357.0, 367.0, 55.0, 10.0,-1,
1557,1558,0, 412.0, 368.0, 55.0, 10.0,-1,
1620,1621,0, 442.0, 371.0, 55.0, 10.0,-1,
1693,1694,0, 406.0, 384.0, 55.0, 10.0,-1,
1779,1780,0, 454.0, 298.0, 60.0, 10.0,-1,
1833,1834,0, 418.0, 301.0, 60.0, 10.0,-1,
1991,1992,0, 467.0, 308.0, 60.0, 10.0,-1,
2059,2060,0, 385.0, 312.0, 60.0, 10.0,-1,
2384,2385,0, 448.0, 312.0, 60.0, 10.0,-1,
2487,2488,0, 410.0, 315.0, 60.0, 10.0,-1,
2571,2572,0, 480.0, 315.0, 60.0, 10.0,-1,
2660,2661,0, 494.0, 317.0, 60.0, 10.0,-1,
